K2014-01154,"$2,149.50 
","14-940-13-10-00-0-00-000 
"
K2014-01155,"$1,389.93 
","14-940-15-06-00-0-00-000 
"
K2014-01157,"$4,030.91 
","14-940-17-14-00-0-00-000 
"
K2014-01158,"$3,018.57 
","14-940-17-26-00-0-00-000 
"
K2014-01160,"$1,416.41 
","27-310-02-21-00-0-00-000 
"
K2014-01163,"$5,501.47 
","27-310-04-50-00-0-00-000 
"
K2014-01164,"$83,746.42 
","27-340-09-44-00-0-00-000 
"
K2014-01165,"$741.43 
","27-340-12-19-00-0-00-000 
"
"K2014-0U67 ' ""","$196.52 
","27-410-15-12-00-0-00-000 
"
K2014-01173,"$7,372.55 
","27-830-01-10-00-0-00-000 
"
K2014-01174,"$1,361.69 
","27-910-05-03-01-0-00-000 
"
K2014-01175,"$1,027.26 
","27-910-10-02-00-0-00-000 
"
K2014-01176,"$2,555.00 
","27-910-11-05-00-0-00-000 
"
K2014-01178,"$1,164.44 
","28-110-08-09-00-0-00-000 
"
K2014-01179,"$1,146.77 
","28-110-11-37-00-0-00-000 
"
K2014-01180,"$711.15 
","28-110-11-73-00-0-00-000 
"
K2014-01181,"$285.57 
","28-110-11-88-00-0-00-000 
"
K2014-01182,"$1,677.37
","28-110-13-02-00-0-00-000 
"
K2014-01184,"$1,827.16 
","28-110-14-08-00-0-00-000 
"
K2014-01186,"$1,574.58 
","28-110-20-09-02-0-00-000 
"
K2014-01188,"$1,103.47 
","28-110-23-17-01-0-00-000 
"
K2014-01189,"$1,521.06 
","28-120-01 -05-00-0-00-000 
"
K2014-01191,"$388.77 
","28-120-02-11 -00-0-00-000 
"
K2014-01192,"$1,411.83 
","28-120-11-11-00-0-00-000 
"
K2014-01193,"$3,472.39 
","28-120-12-08-00-0-00-000 
"
K2014-01194,"$492.87' 
","28-120-12-09-00-0-00-000 ' 
"
K2014-01195,"$1,118.98 
","28-120-12-10-00-0-00-000 
"
K2014-01196*,"$2,190.05 
","28-120-26-10-00-0-00-000 
"
K2014-01197,"$1,733.93 
","28-120-26-11-00-0-00-000 
"
K2014-01198,"$1,888.06 
","28-120-31-03-00-0-00-000 
"
K2014-01201,"$708.16 
","28-120-38-15-00-0-00-000 
"
K2014-01203,"$2,225.74 
","28-120-39-16-00-0-00-000 
"
K2014-01206,"$1,670.06 
","28-130-08-04-00-0-00-000 
"
K2014-01207,"$249.36 
","28-130-09-13-00-0-00-000 
"
K2014-01210,"$7,302.54 
","28-130-16-16-00-0-00-000 
"
K2014-01211,"$1,181.89 
","28-130-17-12-00-0-00-000. 
"
K2014-D12J2,"$1*886.57 
","28-130-18-12-00-0-00-000 * 
"
K2014-01214,"$2,789.26 
","28-130-18-34-00-0-00-000 
"
K2014-01215,"$2,937.00 
","28-130-18-35-00-0-00-000 
"
K2014-01218,"$1,863.65 
","28-130-23-15-00-0-00-000 
"
K2014-01221,"$2,098.19 
","28-130-28-14-00-0-00-000 
"
K2014-01222,"$2,834.05 
","28-130-28-18-00-0-00-000 
"
K2014-01223,"$1,906.68 
","28-130-29-04-00-0-00-000
"
K2014-01225,"$1,564.82
","28-130-29-24-00-0-00-000 
"
K2014-01227,"$957.26 
","28-130-32-11-00-0-00-000 
"
K20W-01229,"$828.75 
","28-140-03-07-00-0-00-000 
"
K2014-01230,"$224.07 
","28-140-04-32-00-0-00-000 
"
K2014-01234,"$582.22 
","28-140-10-42-00-0-00-000 
"
K2014-01235,"$1,025.98 
","28-140-11-01-00-0-00-000 
"
K2014-01239,"$1,808.82 
","28-140-12-15-00-0-00-000 
"
K2014-01240,"$20,648.08 
","28-140-13-18-00-0-00-000 
"
K2014-01241,"$6,445.96 
","28-140-15-01-00-0-00-000 
"
K2014-01242,"$1,299.13 
","28-140-17-34-00-0-00-000 
"
K2014-01243,"$396.95 
","28-140-22-02-00-0-00-000 
"
K2014-01244,"$2,320.23 
","28-140-22-15-00-0-00-000 
"
K2014-01245,"$1,926.35 
","28-140-22-16-00-0-00-000 
"
K2014-01247,"$1,886.35 
","28-140-24-01-00-0-00-000 
"
K2014-01249,"$1,510.92 
"
K2014-01251,"$3,036.06 
","28-140-25-31 -00-0-00-000 
"
K2014-01253,"$1,528.63 
","28-210-06-26-00-0-00-000 
"
K2014-01258,"$222.35 
","28-210-21-37-00-0-00-000"" • 
"
K2014-01261,"$1,763.34 
","28-220-05-11-00-0-00-000 
"
K2014-01262,"$306.69 
","28-220-06-10-00-0-00-000 ( 
"
K2014-01265,"$1,521.07 
","28-220-09-29-00-0-00-000 
"
K2014-01267,"$1,722.50 
","28-220-11-19-00-0-00-000 
"
K2014-01269/K2014-01270,"
","28-220-13-15-00-0-00-000 & 
","28-220-13-16-00-0-00-000 
"
K2014-01274,"$306.69 
","28-220-14-32-00-0-00-000 
"
"$2,166.15","$2,166.15
","28-210-21-37-00-0-00-000"" • 
"
K2014-01275,"$1,408.32
","28-220-15-03-00-0-00-000 
"
K2014-01276,"$2,009.01 
","28-220-15-36-00-0-00-000 
"
K2014-01278,"$1,989.88 
","28-220-20-09-00-0-00-000 
"
K2014-01279,"$14,472.63 
","28-220-23-09-00-0-00-000 
"
K2014-01280,"$2,107.12 
","28-220-23-18-00-0-00-000 
"
K2014-01281,"$288.63 
","28-220-27-06-00-0-00-000 
"
K2014-01283,"$608.17 
","28-230-01-14-00-0-00-000 
"
K2014-01284,"$608.17 
","28-230-01-15-00-0-00-000 
"
K2014-01285,"$995.35 
","28-230-01-16-00-0-00-000 
"
K2014-01286,"$2,189.78 
","28-230-01 -35-02-0-00-000 
"
K2014-01287,"$1,642.39 
","28-230-08-10-00-0-00-000 
"
K2014-01288,"$1,462.20 
","28-230-08-15-00-0-00-000 
"
K2014-01289,"$2,834.92 
","28-230-11-20-00-0-00-000 
"
K2014-01292,"$1,395.51 
","28-230-17-16-00-0-00-000 
"
K2014-01297,"$1,555.97 
","28-230-21-01-00-0-00-000 
"
K2014-01299,"$1,570.51 
","28-230-21-24-00-0-00-000 
"
K2014-01300,"$1^64.93 
","28-230-22-09-00-0-00-000 
"
K2014-01302,"$2,274.13 
","28-230-24-06-00,0-00-000 
"
K2014-01304,"$342.88 
","28-240-02-05-00--0-00-000 
"
K2014-01305,"$1,010.29 
","28-240-02^ 12-00-0-00-000 
"
K2014-01307,"$2,922.99 
","28-240-07-31-00-0-00-000 
"
K2014-01308,"$2,129.78 
","28-240-08-09-00-0-00-000 
"
K2014-01310,"$4,047.95 
","28-240-09-16-00-0-00-000 
"
K2014-01311,"$1,764.81 
","28-240-10-24-00-0-00-000 
"
K2014-01312,"$1,127.12 
","28-240-14-11-00-0-00-000 
"
K2014-01313,"$2,908.21 
","28-240-20-03-00-0-00-000 
"
K2014-01314,"$3,047.13 
","28-240-20-32-00-0-00-000 
"
"K2014-01315 ""","$574.45 
","28-240-21-24-00-0-00-000 
"
K2014-01317,"$777.27 
","28-240-23-32-00-0-00-000 
"
K2014-01322,"$1,780.28 
","28-310-14-17-00-0-00-000 
"
K2014-01324,"$2,950.26 
","28-310-15-01-00-0-00-000 
"
K2014-01325,"$1,692.31 
","28-310-15-02-00-0-00-000 
"
K2014-01326,"$2,269.06 
","28-310-15-46-00-0-00-000 
"
K2014-01327,"$2,006.00 
","28-310-16-12-00-0-00-000 
"
K2014-01328,"$2,118.93 
","28-310-16-18-00-0-00-000 
"
K2014-01329,"$1,836.96 
","28-310-17-09-00-0-00-000 
"
K2014-01330,"$1,388.87 
","28-310-17-21-00-0-00-000 
"
K2014-01331,"$306.69 
","28-310-19-01-00-0-00-000 
"
K2014-01332,"$2,305.11 
","28-310-20-02-00-0-00-000 
"
K2014-01333,"$8,741.17 
","28-310-21-43-00-0-00-000 
"
